donor_id,name,blood_type,segment,rfm_score,recommendation_score,expected_response_rate,city,email,expected_donation
D02829,Mrs. Elizabeth Velez,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Kochi,christopherluna@example.net,0.7
D05325,Matthew Roberts DDS,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chennai,cynthia67@example.org,0.7
D06485,Thomas Perkins,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,patelsarah@example.com,0.7
D01114,Kayla Maxwell,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,jdaugherty@example.org,0.7
D00301,Luis Hill,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Pune,alexis19@example.org,0.7
D01527,Craig Baker,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bangalore,kathryn64@example.com,0.7
D07963,Christian Aguilar,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,brandonhogan@example.net,0.7
D02309,Zachary Murray,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,anthonyharris@example.com,0.7
D01544,Adrian Sanchez,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,kimberlyestrada@example.net,0.7
D07973,Nathan Mcneil,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,betty70@example.net,0.7
D01004,Joy Dorsey,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Delhi,dsmith@example.org,0.7
D07233,Kristin Miller,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Delhi,trobinson@example.net,0.7
D08004,Chris James,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bhopal,wperry@example.com,0.7
D05824,Michelle Figueroa,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,websterkaitlyn@example.org,0.7
D05995,Anthony Dougherty,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chandigarh,esmith@example.net,0.7
D04827,Hannah Nash,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,sjones@example.net,0.7
D02436,Marie Johnson,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,john12@example.org,0.7
D07707,Michael Wilson,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,brandonwall@example.org,0.7
D01118,Timothy Robinson,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,brandon84@example.org,0.7
D00085,David Brewer,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,patrick90@example.net,0.7
D05266,George Brown,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bangalore,palvarado@example.net,0.7
D04937,Gregory Dorsey,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,nwiggins@example.com,0.7
D05203,Eric Lee,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,whitejane@example.com,0.7
D03812,Gregory Moore,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,flewis@example.com,0.7
D04995,Aaron Johnson,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,dvasquez@example.net,0.7
D02154,Colleen Roman,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,hweber@example.org,0.7
D02322,John Jones,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Delhi,qwheeler@example.net,0.7
D01194,Jeffrey Burke,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,jennifercooper@example.com,0.7
D01246,Peter Hunter,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Lucknow,mistykelly@example.com,0.7
D02131,Jorge Ross,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chandigarh,aprilavery@example.net,0.7
D06419,Christine Bowers,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bhopal,robertmanning@example.net,0.7
D05236,Robert Williams,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Kochi,sarahfisher@example.com,0.7
D04974,Matthew Jordan,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bhopal,yreyes@example.com,0.7
D07674,Brenda Alexander,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bangalore,josephsimon@example.net,0.7
D07831,Sierra Wallace,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Lucknow,batesteresa@example.org,0.7
D07846,Cody White,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Delhi,lrichardson@example.net,0.7
D02098,Anthony Elliott,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,owilson@example.net,0.7
D05057,Jackson Lopez,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,xgarner@example.org,0.7
D03005,Joseph Dominguez,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,xlewis@example.com,0.7
D00891,Mark Dennis,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,clarkdavid@example.net,0.7
D01730,Sabrina Adams,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,djohnson@example.net,0.7
D01297,Jesse Martinez,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,cortezmatthew@example.com,0.7
D01676,Cody Wilson,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Pune,bradley39@example.net,0.7
D01701,Thomas Kelly,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Pune,wvelazquez@example.net,0.7
D06813,Patricia Holland,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,chorn@example.net,0.7
D06817,Gabriel Arnold,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,brittanysilva@example.com,0.7
